name	record_va	marker_va	layout	n_methods	n_slots	typeinfo_va
N11FrameEngine6Common13DictListProxyIPNS0_14TraitResObjectEEE	0x6a7da20	0x6a7daa0	B	6	11	0x720a800
N11FrameEngine6Common13DictListProxyIPNS0_17SkillGemResObjectEEE	0x6a7db30	0x6a7dbb0	B	6	11	0x720a800
N11FrameEngine6Common13DictListProxyIPNS0_23SkillGemSchemeResObjectEEE	0x6a7dc40	0x6a7dcc0	B	6	11	0x720a800
N11FrameEngine6Common13DictListProxyIPNS0_27EvacuateDropSchemeResObjectEEE	0x6a7dd50	0x6a7ddd0	B	6	11	0x720a800
N11FrameEngine6Common13DictListProxyIPNS0_21EvacuateItemResObjectEEE	0x6a7de60	0x6a7dee0	B	6	11	0x720a800
N11FrameEngine6Common13DictListProxyIPNS0_25SkillGemCategoryResObjectEEE	0x6a7df70	0x6a7dff0	B	6	11	0x720a800
N11FrameEngine6Common13DictListProxyIPNS0_19PixiuAwardResObjectEEE	0x6a7e080	0x6a7e100	B	6	11	0x720a800
N11FrameEngine6Common13DictListProxyIPNS0_15TalentResObjectEEE	0x6a7e190	0x6a7e210	B	6	11	0x720a800
N11FrameEngine6Common13DictListProxyIPNS0_26GamePlayComponentResObjectEEE	0x6a7e2a0	0x6a7e320	B	6	11	0x720a800
N11FrameEngine6Common13DictListProxyIPNS0_14EquipResObjectEEE	0x6a7e3b0	0x6a7e430	B	6	11	0x720a800
N11FrameEngine6Common13DictListProxyIPNS0_21EquipShopSchemeConfigEEE	0x6a7e4c0	0x6a7e540	B	6	11	0x720a800
N11FrameEngine6Common13DictListProxyIPNS0_17RunePageResObjectEEE	0x6a7e5d0	0x6a7e650	B	6	11	0x720a800
N11FrameEngine6Common13DictListProxyIPNS0_15BulletResObjectEEE	0x6a7e6e0	0x6a7e760	B	6	11	0x720a800
N11FrameEngine6Common13DictListProxyIPNS0_29MonsterBehaviorGroupResObjectEEE	0x6a7e7f0	0x6a7e870	B	6	11	0x720a800
N11FrameEngine6Common13DictListProxyIPNS0_32MonsterBehaviorRelationResObjectEEE	0x6a7e900	0x6a7e980	B	6	11	0x720a800
N11FrameEngine6Common13DictListProxyIPNS0_20MonsterSkinResObjectEEE	0x6a7ea10	0x6a7ea90	B	6	11	0x720a800
N11FrameEngine6Common13DictListProxyIPNS0_19ActivitiesResObjectEEE	0x6a7eb20	0x6a7eba0	B	6	11	0x720a800
N11FrameEngine6Common10RPNVariantE	0x6a7ec38	0x6a7ecb0	A	6	11	0x720a800
N11FrameEngine6Common18RPNActorAttrString28RPNActorAttrString_AttrValueE	0x6a7ed10	0x6a7edb0	E	7	13	0x720a800
N11FrameEngine6Common3RPNE	0x6a7ee40	0x6a7eed0	C	8	16	0x720a800
St15basic_stringbufIcSt11char_traitsIcEN11FrameEngine9allocatorIcEEE	0x6a7f160	0x6a7f1f0	C	15	16	
7FixTime	0x6a7f248	0x6a7f2d8	F	7	13	0x720a890
N11FrameEngine5FEMsgE	0x6a7f320	0x6a7f3c0	E	8	13	0x720a800
N11FrameEngine5Logic10LuaManagerE	0x6a7f428	0x6a7f4a0	A	6	11	0x720a800
N11FrameEngine5Extra19LogicStringCacheMgrE	0x6a7f908	0x6a7f980	A	6	11	0x720a800
N21FrameEngineIOInternal9LGameFileE	0x6a7f9e0	0x6a7fa80	E	7	13	0x720a800
N11FrameEngine5Extra20LogicResLoadProviderE	0x6a7faa8	0x6a7fb20	A	6	11	0x720a800
N11FrameEngine5Extra22LogicBattleResProviderE	0x6a7fbb8	0x6a7fc30	A	6	11	0x720a800
N11FrameEngine5Extra19LogicResManagerRootE	0x6a7fcc8	0x6a7fd40	A	6	11	0x720a800
N11FrameEngine5Extra21LogicActorBelongUtilsE	0x6a7fdd8	0x6a7fe50	A	6	11	0x720a800
N11FrameEngine6FEDeskE	0x6a7fee8	0x6a7ff60	A	6	11	0x720a800
N11FrameEngine17FEInterfaceConfigE	0x6a80040	0x6a800e0	E	6	13	0x720a800
N11FrameEngine6Common12DataMgrProxyE	0x6a80100	0x6a80180	B	6	11	0x720a800
N11FrameEngine10FEDataRootE	0x6a80220	0x6a802b0	C	10	16	0x720a800
N11FrameEngine20BuildTransConfigDataE	0x6a80358	0x6a803d0	A	6	11	0x720a800
N11FrameEngine15FEBattleContextE	0x6a804d8	0x6a80550	A	6	11	0x720a800
N6MobaAI13AiGlobalValueE	0x6a805b0	0x6a80650	E	7	13	0x720a800
N11FrameEngine8CJsonMgrE	0x6a80740	0x6a807d0	C	9	16	0x720a890
N11FrameEngine8CJsonMgrE	0x6a807d8	0x6a80868	F	4	13	0x720a890
N11FrameEngine10FEDataSyncE	0x6a80fd8	0x6a81050	A	6	11	0x720a800
N11FrameEngine9SyncIDMgrE	0x6a810e8	0x6a81160	A	6	11	0x720a800
N11FrameEngine31NonRecoverConsistencyStaticVarsE	0x6a811f8	0x6a81270	A	6	11	0x720a800
N11FrameEngine12FrameCheckerE	0x6a81308	0x6a81380	A	6	11	0x720a800
N11FrameEngine12FrameChecker27FrameChecker_FrameHashStackE	0x6a814a0	0x6a81540	E	7	13	0x720a800
N11FrameEngine12FrameChecker28FrameChecker_PlayerHashStackE	0x6a81530	0x6a815d0	E	7	13	0x720a800
N11FrameEngine11DemDataBuffE	0x6a815f0	0x6a81680	C	11	16	0x720a800
N11FrameEngine20FrameDumperInterfaceE	0x6a816e0	0x6a81780	E	7	13	0x720a800
N11FrameEngine17TraceBinaryWriterE	0x6a817a8	0x6a81820	A	6	11	0x720a800
N11FrameEngine11FrameDumperE	0x6a818b8	0x6a81930	A	6	11	0x720a800
N11FrameEngine19FixFowGridDumpQueueE	0x6a81990	0x6a81a30	E	8	13	0x720a800
N11FrameEngine9FrameDataE	0x6a81b60	0x6a81c00	E	7	13	0x720a800
N11FrameEngine16TDBMemoryManagerE	0x6a81c58	0x6a81cd0	A	6	11	0x720a800
N11FrameEngine31MemoryManagerWithTDBForGroupObjE	0x6a81ed0	0x6a81f60	C	10	16	0x720a800
N11FrameEngine13MemoryManagerE	0x6a82010	0x6a820a0	C	10	16	0x720a800
N11FrameEngine5FELogE	0x6a82138	0x6a821b0	A	6	11	0x720a800
N11FrameEngine5Logic13ActorEventMgrE	0x6a82240	0x6a822d0	C	11	16	0x720a800
N11FrameEngine10FEDelegateIvJPvS1_PNS_5Logic14BattleActorMsgEEE16FEStaticFunctionE	0x6a82330	0x6a823d0	E	8	13	0x720a800
N11FrameEngine5Logic34LgcMsg_EVENT_TOWER_PLATE_DESTROYEDE	0x6a842f0	0x6a84380	C	10	16	0x720a800
N11FrameEngine5Logic14BattleActorMsgE	0x6a84520	0x6a845c0	E	7	13	0x720a800
N11FrameEngine10FEMsgQueueE	0x6a85728	0x6a857a0	A	6	11	0x720a800
N11FrameEngine8FEMsgSeqE	0x6a858a0	0x6a85940	E	7	13	0x720a520
N11FrameEngine10ByteReaderE	0x6a859e8	0x6a85a60	A	6	11	0x720a800
N11FrameEngine9TypeIDMgrE	0x6a85af8	0x6a85b70	A	6	11	0x720a800
N6MobaAI25AITeamDifficultyComponentE	0x6a85c08	0x6a85c80	A	6	11	0x720a800
N6MobaAI20AiUtilWinRatePredictE	0x6a85d38	0x6a85db0	A	6	11	0x720a800
N6MobaAI15MonsterAreaInfoE	0x6a85e40	0x6a85ec0	B	6	11	0x720a800
N6MobaAI22ClearupMonsterAreaInfoE	0x6a85f20	0x6a85fc0	E	7	13	0x720a800
N6MobaAI19CalcSkillDamageInfoE	0x6a85fb0	0x6a86050	E	7	13	0x720a800
N6MobaAI11AIUtilOtherE	0x6a86040	0x6a860e0	E	7	13	0x720a800
N6MobaAI21CalculateKillTimeInfoE	0x6a860d0	0x6a86170	E	7	13	0x720a800
N6MobaAI17CalculateTimeInfoE	0x6a86160	0x6a86200	E	7	13	0x720a800
N6MobaAI16AiUtilsComponentE	0x6a86228	0x6a862a0	A	6	11	0x720a800
N11FrameEngine6Common10FixNavPathINS0_5Fix64EEE	0x6a86330	0x6a863b0	B	6	11	0x720a800
N6MobaAI29AiUtilDifficultyDynamicChangeE	0x6a86448	0x6a864c0	A	6	11	0x720a800
N6MobaAI18DamageTimeLineInfoE	0x6a86588	0x6a86600	A	6	11	0x720a800
N6MobaAI14AiFindPathInfoE	0x6a86698	0x6a86710	A	6	11	0x720a800
N6MobaAI6AiHookE	0x6a867b0	0x6a86840	C	10	16	0x720a800
N6MobaAI6HeroAiE	0x6a868d8	0x6a86950	A	6	11	0x720a800
N6MobaAI8AiSystemE	0x6a869e0	0x6a86a70	C	10	16	0x720a800
N6MobaAI16AiCrashdumpUtilsE	0x6a86ad0	0x6a86b70	E	7	13	0x720a800
N6MobaAI26PileAttackingItemsComposerE	0x6a86b90	0x6a86c10	B	6	11	0x720a800
N6MobaAI8AiObjMgrE	0x6a86ca8	0x6a86d20	A	6	11	0x720a800
N6MobaAI12AiTreeVerifyE	0x6a86e20	0x6a86eb0	C	11	16	0x720a800
N11FrameEngine19DataShellDictionaryIiPN6MobaAI16AiTreeVerifyDataENS_15DataShellConfig9IsDemDataENS4_11NotSyncDataENS4_12NotSharedPtrEEE	0x6a86f30	0x6a86fc0	C	10	16	0x720a800
N6MobaAI16AiTreeVerifyDataE	0x6a87030	0x6a870d0	E	8	13	0x720a800
N11FrameEngine13DataShellListIiNS_15DataShellConfig9IsDemDataENS1_11NotSyncDataENS1_12NotSharedPtrEEE	0x6a870c0	0x6a87160	E	7	13	0x720a800
N6MobaAI21AIDifficultyComponentE	0x6a87188	0x6a87200	A	6	11	0x720a800
	0x6a87360	0x6a873f0	C	16	16	
N6MobaAI9AiObjBaseE	0x6a87448	0x6a874d8	F	7	13	0x720a890
N6MobaAI16BevTreeComponentE	0x6a87548	0x6a875c0	A	6	11	0x720a800
N6MobaAI27DynamicDifficultyControllerE	0x6a87658	0x6a876d0	A	6	11	0x720a800
N6MobaAI22AttackSoldierStatisticE	0x6a87768	0x6a877e0	A	6	11	0x720a800
N6MobaAI9NonHeroAiE	0x6a87878	0x6a878f0	A	6	11	0x720a800
N6MobaAI11AiGmCommandE	0x6a87988	0x6a87a00	A	6	11	0x720a800
N6MobaAI5AiCmdE	0x6a87a98	0x6a87b10	A	6	11	0x720a800
N6MobaAI12GameStateMgrE	0x6a87ba8	0x6a87c20	A	6	11	0x720a800
N6MobaAI20TDRAICoachBattleDataE	0x6a87c80	0x6a87d20	E	7	13	0x720a800
N6MobaAI18PureRLStateMonitorE	0x6a87d48	0x6a87dc0	A	6	11	0x720a800
N6MobaAI14RLStateMonitorE	0x6a87e58	0x6a87ed0	A	6	11	0x720a800
N6MobaAI19HeroAbnormalMonitorE	0x6a87f68	0x6a87fe0	A	6	11	0x720a800
N6MobaAI20BevTreeSkillAnalyzerE	0x6a88078	0x6a880f0	A	6	11	0x720a800
N6MobaAI20BevTreeStateAnalyzerE	0x6a88188	0x6a88200	A	6	11	0x720a800
N6MobaAI20BevTreeExtraAnalyzerE	0x6a88298	0x6a88310	A	6	11	0x720a800
N6MobaAI16BTAStandEventMgrE	0x6a88490	0x6a88520	C	10	16	0x720a800
N6MobaAI15BTABaseEventMgrE	0x6a88510	0x6a885b0	E	3	13	0x720a800
N6MobaAI19TeamAiExcuteMonitorE	0x6a88610	0x6a886a0	C	13	16	0x720a800
N6MobaAI11TeamAiEventE	0x6a88770	0x6a88810	E	7	13	0x720a800
N6MobaAI13BTAStandEventE	0x6a88838	0x6a888b0	A	6	11	0x720a800
N6MobaAI28BevTreeStateAnalysisSnapshotE	0x6a88948	0x6a889c0	A	6	11	0x720a800
N6MobaAI17GameArtistMonitorE	0x6a88a58	0x6a88ad0	A	6	11	0x720a800
N6MobaAI15ArtistDamgeInfoE	0x6a88b30	0x6a88bd0	E	7	13	0x720a800
N6MobaAI13TDRDamgeInfoCE	0x6a88bc0	0x6a88c60	E	7	13	0x720a800
N6MobaAI31ArtistEntertainmentGamePlayInfoE	0x6a88c50	0x6a88cf0	E	7	13	0x720a800
N6MobaAI17TDRMainSkillInfoCE	0x6a88ce0	0x6a88d80	E	7	13	0x720a800
N6MobaAI22ArtistMonsterDeathInfoE	0x6a88d70	0x6a88e10	E	7	13	0x720a800
N6MobaAI20ArtistTowerDeathInfoE	0x6a88e00	0x6a88ea0	E	7	13	0x720a800
N6MobaAI15UnitDataMonitorE	0x6a88ec8	0x6a88f40	A	6	11	0x720a800
N6MobaAI18AramSLStateMonitorE	0x6a88fd8	0x6a89050	A	6	11	0x720a800
N6MobaAI21AIHeroFinishSkillInfoE	0x6a890e8	0x6a89160	A	6	11	0x720a800
N6MobaAI19ArtistCastSkillInfoE	0x6a891f8	0x6a89270	A	6	11	0x720a800
N6MobaAI15CCSStateMonitorE	0x6a89308	0x6a89380	A	6	11	0x720a800
N6MobaAI22CCSSurroundDataMonitorE	0x6a89418	0x6a89490	A	6	11	0x720a800
N6MobaAI13CCSStateUtilsE	0x6a89520	0x6a895b0	C	10	16	0x720a800
